ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
3607,"Sustainable Rice Cultivation for Marginal Farmers in Chhattisgarh, India",Value Network Ventures Advisory Services Pvt. Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Withdrawn,India,77805,Asia,,7/1/2022,6/30/2029
3608,"Sustainable Rice Cultivation for Marginal Farmers in Maharashtra, India",Value Network Ventures Advisory Services Pvt. Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Withdrawn,India,126806,Asia,,7/1/2022,6/30/2029
3557,Bundled Solar Power Project by Sun Source Energy Private Limited 01,Sun Source Energy Private Limited.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registration and verification approval request denied,India,19763,Asia,,1/4/2021,1/3/2028
3559,Bundled Solar Power Project by Sun Source Energy Private Limited 02,Sun Source Energy Private Limited.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registration and verification approval request denied,India,13923,Asia,,10/19/2021,10/18/2028
3564,REDD+ Project for the Conservation of Lowland Forest in the  Magdalena Medio Region of Colombia,Fundación Biodiversa Colombia (FBC),Agriculture Forestry and Other Land Use,REDD,VM0015,Withdrawn,Colombia,20581,Latin America,,7/1/2018,6/30/2048
3566,Livelihood improvement by agroforestry plantation in India,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration and verification approval request denied,India,6420,Asia,,6/11/2018,6/10/2048
3576,Ban Odisha 01,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,1/1/2015,12/31/2034
3577,Ban Odisha 02,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,1/1/2015,12/31/2034
3578,Ban Odisha 03,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,1/1/2015,12/31/2034
3579,Ban Odisha 04,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,1/1/2015,12/31/2034
3580,Ban Odisha 05,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,1/1/2015,12/31/2034
3582,Ban Odisha 06,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,1/1/2015,12/31/2034
3583,Ban Odisha 07,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,1/1/2015,12/31/2034
3584,Ban Odisha 08,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,1/1/2015,12/31/2034
3585,Ban Odisha 09,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,1/1/2015,12/31/2034
3586,Ban Odisha 10,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,1/1/2015,12/31/2034
3472,Improved Cropland Management Project in Guyuan,"Gansu Hongmao Agriculture Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Withdrawn,China,160000,Asia,,1/1/2019,12/31/2118
3456,Fujian Datian Improved Forest Management Project,Multiple Proponents,Agriculture Forestry and Other Land Use,IFM,VM0010,Rejected by Administrator,China,135193,Asia,,1/31/2020,1/30/2050
3452,Sichuan Huili Improved Forest Management Project,Multiple Proponents,Agriculture Forestry and Other Land Use,IFM,VM0010,Rejected by Administrator,China,126366,Asia,,12/1/2019,11/30/2039
3453,ITABU REDD+ PROJECT IN ZAMBIA,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Registration and verification approval request denied,Zambia,9326725,Africa,,1/1/2018,12/31/2067
3433,Guiyang Afforestation Project,"Guiyang Forestry Industry Development Co., Ltd",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Withdrawn,China,81672,Asia,,4/12/2018,4/11/2048
3395,"Carbon Sink Afforestation Project in Tongyu County, Jilin Province",Forestry Bureau of Tongyu County,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Withdrawn,China,58791,Asia,,4/1/2015,3/31/2035
3387,Sichuan Santai Improved Forest Management Project,Santai Shengda Development Co. LTD,Agriculture Forestry and Other Land Use,IFM,VM0010,Registration request denied,China,36867,Asia,,7/28/2019,7/27/2039
3383,Improved cropland management project in Bicheng,"Guizhou Haifengjufu Agricultural Science and Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Withdrawn,China,120000,Asia,,1/1/2019,12/31/2118
3380,SIMFlor Programme 1,SIMFlor Ltd,Agriculture Forestry and Other Land Use,REDD,VM0007,Withdrawn,Brazil,1000000,Latin America,,8/1/2022,7/31/2052
3381,Improved cropland management project in Laizbinh,"Guangxi Yuebao Agriculture and Animal Husbandry Co., Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Withdrawn,China,200000,Asia,,1/1/2019,12/31/2038
3370,Ludian County afforestation project in Yunnan Province,Ludian State-owned Forest Farm,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,China,120595,Asia,,1/2/2016,1/1/2056
3358,Improved cropland management project in Bwzho,Guangxi Meiluo Agricultural Science and Technology Co Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0042,Withdrawn,China,80000,Asia,,1/1/2019,12/31/2118
3359,Improved cropland management project in Gveihogang,"Guangxi Yuebao Agriculture and Animal Husbandry Co., Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Withdrawn,China,200000,Asia,,1/1/2019,12/31/2118
3343,XiCO2e: Mexican Peninsula Forest Project,FORLIANCE GmbH,Agriculture Forestry and Other Land Use,IFM,VM0003,Withdrawn,Mexico,170853,Latin America,,1/11/2017,1/10/2047
3344,The Last Habitat REDD+ project,Bosques Amazonicos,Agriculture Forestry and Other Land Use,REDD,VM0007,Registration and verification approval request denied,Peru,781985,Latin America,,1/1/2020,12/31/2039
3334,MARAJÓ REDD+ Project,Para Redd Projects Limited,Agriculture Forestry and Other Land Use,REDD,VM0037,Withdrawn,Brazil,298409,Latin America,,10/23/2021,10/22/2061
3336,Eastern Yan’an Afforestation Project,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Withdrawn,China,485585,Asia,,4/20/2015,4/19/2075
3337,Central Yan’an Afforestation Project,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Withdrawn,China,716513,Asia,,4/30/2015,4/29/2075
3338,Yan’an Wuqi Afforestation Project,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Withdrawn,China,356695,Asia,,4/11/2015,4/10/2075
3339,Yan’an Aerial Seeding Afforestation Project,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Withdrawn,China,351097,Asia,,6/1/2015,5/31/2075
3326,Sustainable agriculture programme in Longyuan,"Gansu Hongmao Agriculture Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Withdrawn,China,615000,Asia,,11/1/2018,10/31/2118
3309,Chengmai Water Management with Rice Cultivation,"Hainan Sunsea Ecological Agriculture Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registration and verification approval request denied,China,59188,Asia,,,
3310,Dansha Water Management with Rice Cultivation,"Hainan Sunsea Ecological Agriculture Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registration and verification approval request denied,China,59459,Asia,,,
