ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
2835,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – Africa – Solar Lamps & Efficient cook stoves – 10341 –CPA - 0001,MicroEnergy Credits Corp,Energy demand; Energy industries (renewable/non-renewable sources),,AMS-II.G.; AMS-III.AR,Registered,Kenya,138000,Africa,2/27/2023,3/1/2023,2/28/2030
2836,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – Africa – Solar Lamps & Efficient cook stoves – 10341 –CPA - 0002,MicroEnergy Credits Corp,Energy demand; Energy industries (renewable/non-renewable sources),,AMS-II.G.; AMS-III.AR,Registered,Kenya,52022,Africa,2/23/2023,10/1/2018,9/30/2025
2837,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – Africa – Solar Lamps & Efficient cook stoves – 10341 –CPA - 0003,MicroEnergy Credits Corp,Energy demand; Energy industries (renewable/non-renewable sources),,AMS-II.G.; AMS-III.AR,Registered,Kenya,90914,Africa,2/27/2023,11/11/2019,11/10/2026
2838,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – Africa – Solar Lamps & Efficient cook stoves – 10341 –CPA - 0004,MicroEnergy Credits Corp,Energy demand; Energy industries (renewable/non-renewable sources),,AMS-II.G.; AMS-III.AR,Registered,Uganda,52430,Africa,1/30/2023,12/1/2018,11/30/2025
2839,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – Africa – Solar Lamps & Efficient cook stoves – 10341 –CPA - 0005,MicroEnergy Credits Corp,Energy demand; Energy industries (renewable/non-renewable sources),,AMS-II.G.; AMS-III.AR,Registered,Uganda,14645,Africa,1/30/2023,11/10/2019,11/9/2026
2831,SHANDONG LIJIN BREEDING SWINE FARM BIOGAS RECOVERY PROJECT,"Lijin Huayu Breeding Swine Co., Ltd.",Waste handling and disposal,,AMS-III.D.,Registered,China,17727,Asia,2/20/2023,6/1/2022,5/31/2029
2833,Grouped Reforestation Project by Cropzone Agro Forestry Private Limited,CropZone Agro Forestry Private Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,India,10673,Asia,9/12/2023,6/4/2017,6/3/2117
2830,Huineng Low Concentration Coal Mine Methane Utilization Project,"Beijing Yonder Environmental Energy Technology Co., Ltd","Fugitive emissions from fuels (solid, oil and gas); Mining/mineral production",,ACM0008,Registered,China,352106,Asia,1/8/2022,,
2828,Improved Cooking Stove Programme in Burundi,POWA S.A,Energy demand,,AMS-II.G.,Registered,Burundi,506373,Africa,12/15/2022,11/2/2018,11/1/2025
2825,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-006,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,5/26/2024,9/28/2019,9/27/2029
2826,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-007,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,5/27/2024,1/1/2020,12/31/2029
2827,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-008,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,5/27/2024,3/12/2020,3/11/2030
2772,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-014,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,6/20/2024,6/6/2021,6/5/2031
2773,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-015,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,5/28/2024,12/16/2020,12/15/2030
2774,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-016,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,5/26/2024,11/1/2021,10/31/2031
