ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
3119,Chaoyang Adjusted Water Management in Rice Cultivation,"Harbin Huanyu Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registration and verification approval request denied,China,"59,666",Asia,,5/10/2018,5/9/2025
3116,CAMBODIA PREY MOAN KHMER IMPROVED COOKSTOVE PROGRAM I,Multiple Proponents,Energy demand,,VMR0006,Registered,Cambodia,"381,007",Asia,6/28/2023,4/24/2022,4/23/2032
3112,BABIL BIOGAS POWER PLANT,Multiple Proponents,Waste handling and disposal,,AM0073,Registered,Turkey,"73,244",Middle East,7/4/2024,10/31/2020,10/30/2027
3099,Spectra Solar Park Ltd _35 MW AC Grid-Tied by Spectra Solar Park Limited,Spectra Solar Park Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Bangladesh,"37,042",Asia,8/18/2023,3/12/2021,3/11/2028
3101,Jinquan Geothermal Based Space Heating System,Henan Jinquan New Energy Co. LTD,Energy industries (renewable/non-renewable sources),,AM0072,Registered,China,"32,479",Asia,9/20/2024,11/1/2021,10/31/2031
3109,Biomass Cookstove Project in Jharkhand,Fair Climate Fund India Private Limited,Energy demand,,VMR0006,Registered,India,"13,957",Asia,12/22/2022,9/1/2020,8/31/2030
3095,Biodiesel Project by Kotyark Industries Limited,Kotyark Industries Limited,Chemical industry,,ACM0017,Registered,India,"270,014",Asia,3/1/2024,9/15/2020,9/14/2027
3096,UPLIFTING OF MALAGASY COMMUNITIES BY DISTRIBUTING EFFICIENT COOKING APPLIANCE,GSG Cleantech Private Limited,Energy demand,,VMR0006,Registered,Madagascar,"1,210,110",Africa,5/30/2024,5/20/2022,5/19/2032
3094,REDUCING CARBON EMISSIONS ON I-64 CAPACITY IMPROVEMENT PROJECT WITH THE USE OF FSB AND EMULSION ASPHALT MIXTURES,"Global Emissionairy, LLC",Construction,,VM0039,Registered,United States,"29,384",North America,1/4/2024,4/17/2018,4/16/2028
3093,INDIA CARBON PROGRAM:AWD/DSR,Nurture Agtech Private Limited,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,India,"52,158",Asia,,5/25/2021,5/24/2028
